SrNo,VE3sign_D/Dt,P_VSA_s_4,SM14_AEA(dm),CATS2D_09_AA,F07[O-O],ATSC7dv,ATSC7i,pIC50_HB
17.0,-1.215,84.95,6.561,1.0,0.0,-75.49,-22.17,3.9519467
18.0,-1.298,113.4,8.075,0.0,0.0,-77.89,-23.4,4.7495799
20.0,-1.391,116.7,7.236,0.0,0.0,-26.51,14.5,4.5931191
21.0,-1.179,97.26,8.224,2.0,0.0,-146.7,-14.43,4.0592842
22.0,-1.23,66.65,5.473,0.0,0.0,-10.81,8.792,3.9767475
23.0,-3.441,114.9,6.22,0.0,0.0,97.28,15.18,4.1394224
24.0,-3.529,114.9,6.819,0.0,0.0,66.42,7.183,4.5172691
25.0,-3.049,116.2,5.76,0.0,0.0,16.0,-1.107,4.2481055
27.0,-3.663,117.6,6.23,1.0,0.0,79.0,-4.517,4.4257374
33.0,-1.731,101.8,6.381,0.0,1.0,-7.672,7.297,4.2189631
34.0,-2.15,111.3,4.588,0.0,0.0,-62.63,3.271,4.2676063
35.0,-1.327,71.93,5.22,0.0,0.0,-9.388,-7.71,3.9880068
36.0,-3.217,115.5,6.202,0.0,0.0,80.83,1.234,4.6179829
37.0,-6.558,106.7,6.416,1.0,2.0,78.47,6.181,3.1487417
38.0,-3.654,103.6,6.553,0.0,0.0,0.2951,6.218,4.7958798
39.0,-3.745,110.5,5.924,0.0,0.0,33.97,5.523,4.1732774
40.0,-2.158,128.9,7.808,1.0,1.0,40.02,-4.299,4.2247539
42.0,-2.99,118.1,6.982,0.0,0.0,1.0,13.81,4.7958798
43.0,-2.041,90.96,6.789,0.0,0.0,8.003,-1.215,4.3429441
45.0,-1.126,104.8,5.595,0.0,0.0,38.36,16.5,4.5096202
46.0,-1.126,75.46,5.595,0.0,0.0,-11.19,9.425,4.5241838
47.0,-1.233,86.36,5.841,0.0,0.0,62.06,24.57,4.2443538
49.0,-1.038,106.2,6.315,1.0,0.0,20.48,20.37,4.254457
51.0,-1.394,57.45,5.202,0.0,0.0,-30.08,15.97,3.6550186
53.0,-1.17,106.2,5.975,0.0,1.0,66.84,15.12,4.5861974
54.0,-0.991,104.2,6.407,1.0,0.0,23.02,16.64,4.562408
55.0,-1.129,107.6,6.525,1.0,0.0,39.9,13.89,4.5622497
57.0,-1.349,76.23,6.519,0.0,0.0,82.89,11.02,4.5550189
58.0,-0.767,95.58,5.588,0.0,0.0,-23.74,10.06,3.8870599
61.0,-0.691,76.63,5.791,0.0,0.0,52.16,-9.745,4.6170831
69.0,-1.991,97.42,5.912,0.0,0.0,-72.49,1.865,4.4743075
70.0,-1.252,114.0,7.48,0.0,0.0,-67.97,-23.16,5.0087738
44.0,-2.001,111.3,6.416,1.0,0.0,-50.43,-3.279,4.2485671
80.0,-1.837,120.3,6.591,1.0,0.0,-53.2,-10.8,4.4775558
83.0,-2.912,103.6,6.633,1.0,0.0,-39.8,-2.339,4.2075381
84.0,-2.842,103.6,6.633,1.0,0.0,-37.83,-4.863,4.2691369
85.0,-3.651,103.6,6.622,0.0,0.0,-39.32,5.558,4.0692039
88.0,-2.569,120.3,6.516,0.0,0.0,-15.64,23.07,4.3494983
93.0,-1.719,119.7,6.66,1.0,0.0,-81.46,-7.654,4.3831048
94.0,-1.866,119.7,6.612,1.0,0.0,-115.6,-9.774,4.4083791
96.0,-1.58,121.8,6.797,1.0,0.0,-111.9,-9.022,4.2912393
97.0,-1.412,119.7,7.271,1.0,2.0,33.61,-26.04,4.279758
99.0,-1.412,119.7,7.271,0.0,0.0,19.45,-23.09,5.1390634
100.0,-1.561,119.7,7.22,0.0,0.0,47.44,9.823,4.9507818
101.0,-1.613,119.0,7.231,0.0,0.0,106.1,10.14,4.9355421
102.0,-1.653,121.1,7.233,0.0,0.0,31.05,2.097,4.9208188
103.0,-1.412,109.8,7.271,0.0,0.0,13.05,-25.22,4.9625735
104.0,-1.561,109.8,7.22,0.0,0.0,28.1,22.2,4.8356471
105.0,-1.613,103.2,7.231,1.0,0.0,97.3,-3.994,4.6497521
109.0,-2.406,102.9,7.293,0.0,0.0,31.25,-14.87,4.7304869
110.0,-1.641,102.9,7.279,0.0,0.0,25.72,-7.06,4.6108341
111.0,-1.635,102.9,7.294,0.0,0.0,27.94,-17.51,4.9244533
113.0,-1.6,111.7,8.203,0.0,0.0,29.86,-22.54,4.8386321
115.0,-2.364,120.9,7.293,0.0,0.0,32.1,-17.27,4.7721133
116.0,-1.594,120.9,7.278,0.0,0.0,22.71,-13.63,5.1051302
118.0,-1.642,129.7,7.292,0.0,0.0,17.98,-11.94,5.2395773
119.0,-1.582,111.3,7.283,0.0,0.0,9.979,-18.22,4.6777806
120.0,-1.597,111.7,8.205,0.0,0.0,-1.667,-19.97,5.031517
122.0,-1.477,102.9,7.293,0.0,0.0,22.05,-10.62,4.7399287
123.0,-1.594,102.9,7.278,0.0,0.0,33.0,-9.135,4.6020598
124.0,-1.801,112.1,8.159,0.0,0.0,7.829,-15.39,4.9871626
126.0,-1.843,131.6,7.877,0.0,0.0,44.76,-27.69,5.3381872
