SrNo,VE3sign_D/Dt,VE1_B(p),P_VSA_s_4,SM14_AEA(dm),SsssNH+,CATS2D_09_AA,F07[O-O],pIC50_HB
17.0,-1.215,4.106,84.95,6.561,1.611,1.0,0.0,3.9519467
18.0,-1.298,4.117,113.4,8.075,1.66,0.0,0.0,4.7495799
20.0,-1.391,3.564,116.7,7.236,1.75,0.0,0.0,4.5931191
21.0,-1.179,4.066,97.26,8.224,0.0,2.0,0.0,4.0592842
22.0,-1.23,3.468,66.65,5.473,1.787,0.0,0.0,3.9767475
23.0,-3.441,3.16,114.9,6.22,0.0,0.0,0.0,4.1394224
24.0,-3.529,3.161,114.9,6.819,0.0,0.0,0.0,4.5172691
25.0,-3.049,3.157,116.2,5.76,0.0,0.0,0.0,4.2481055
27.0,-3.663,3.16,117.6,6.23,0.0,1.0,0.0,4.4257374
33.0,-1.731,3.253,101.8,6.381,0.0,0.0,1.0,4.2189631
34.0,-2.15,3.254,111.3,4.588,0.0,0.0,0.0,4.2676063
35.0,-1.327,3.778,71.93,5.22,0.0,0.0,0.0,3.9880068
36.0,-3.217,3.204,115.5,6.202,0.0,0.0,0.0,4.6179829
37.0,-6.558,3.069,106.7,6.416,0.0,1.0,2.0,3.1487417
38.0,-3.654,3.246,103.6,6.553,0.0,0.0,0.0,4.7958798
39.0,-3.745,3.975,110.5,5.924,0.0,0.0,0.0,4.1732774
40.0,-2.158,3.721,128.9,7.808,0.0,1.0,1.0,4.2247539
42.0,-2.99,3.277,118.1,6.982,0.0,0.0,0.0,4.7958798
43.0,-2.041,3.297,90.96,6.789,0.0,0.0,0.0,4.3429441
45.0,-1.126,3.327,104.8,5.595,0.0,0.0,0.0,4.5096202
46.0,-1.126,3.258,75.46,5.595,0.0,0.0,0.0,4.5241838
47.0,-1.233,3.452,86.36,5.841,0.0,0.0,0.0,4.2443538
49.0,-1.038,3.394,106.2,6.315,0.0,1.0,0.0,4.254457
51.0,-1.394,3.276,57.45,5.202,1.579,0.0,0.0,3.6550186
53.0,-1.17,3.408,106.2,5.975,0.0,0.0,1.0,4.5861974
54.0,-0.991,3.396,104.2,6.407,0.0,1.0,0.0,4.562408
55.0,-1.129,3.904,107.6,6.525,0.0,1.0,0.0,4.5622497
57.0,-1.349,3.474,76.23,6.519,0.0,0.0,0.0,4.5550189
58.0,-0.767,3.608,95.58,5.588,1.559,0.0,0.0,3.8870599
61.0,-0.691,3.362,76.63,5.791,0.0,0.0,0.0,4.6170831
69.0,-1.991,3.666,97.42,5.912,0.0,0.0,0.0,4.4743075
70.0,-1.252,4.113,114.0,7.48,1.618,0.0,0.0,5.0087738
44.0,-2.001,3.162,111.3,6.416,1.452,1.0,0.0,4.2485671
80.0,-1.837,3.163,120.3,6.591,1.478,1.0,0.0,4.4775558
83.0,-2.912,3.163,103.6,6.633,1.498,1.0,0.0,4.2075381
84.0,-2.842,3.163,103.6,6.633,1.499,1.0,0.0,4.2691369
85.0,-3.651,3.164,103.6,6.622,1.502,0.0,0.0,4.0692039
88.0,-2.569,3.164,120.3,6.516,1.476,0.0,0.0,4.3494983
93.0,-1.719,3.267,119.7,6.66,1.479,1.0,0.0,4.3831048
94.0,-1.866,3.269,119.7,6.612,1.479,1.0,0.0,4.4083791
96.0,-1.58,3.331,121.8,6.797,1.461,1.0,0.0,4.2912393
97.0,-1.412,3.21,119.7,7.271,1.522,1.0,2.0,4.279758
99.0,-1.412,3.178,119.7,7.271,1.585,0.0,0.0,5.1390634
100.0,-1.561,3.178,119.7,7.22,1.583,0.0,0.0,4.9507818
101.0,-1.613,3.181,119.0,7.231,1.587,0.0,0.0,4.9355421
102.0,-1.653,3.182,121.1,7.233,1.539,0.0,0.0,4.9208188
103.0,-1.412,3.18,109.8,7.271,1.545,0.0,0.0,4.9625735
104.0,-1.561,3.18,109.8,7.22,1.555,0.0,0.0,4.8356471
105.0,-1.613,3.194,103.2,7.231,0.0,1.0,0.0,4.6497521
109.0,-2.406,3.177,102.9,7.293,1.604,0.0,0.0,4.7304869
110.0,-1.641,3.178,102.9,7.279,1.609,0.0,0.0,4.6108341
111.0,-1.635,3.178,102.9,7.294,1.602,0.0,0.0,4.9244533
113.0,-1.6,3.179,111.7,8.203,1.559,0.0,0.0,4.8386321
115.0,-2.364,3.178,120.9,7.293,1.601,0.0,0.0,4.7721133
116.0,-1.594,3.179,120.9,7.278,1.605,0.0,0.0,5.1051302
118.0,-1.642,3.179,129.7,7.292,1.603,0.0,0.0,5.2395773
119.0,-1.582,3.179,111.3,7.283,3.224,0.0,0.0,4.6777806
120.0,-1.597,3.179,111.7,8.205,1.597,0.0,0.0,5.031517
122.0,-1.477,3.179,102.9,7.293,3.073,0.0,0.0,4.7399287
123.0,-1.594,3.179,102.9,7.278,1.586,0.0,0.0,4.6020598
124.0,-1.801,3.557,112.1,8.159,1.391,0.0,0.0,4.9871626
126.0,-1.843,3.323,131.6,7.877,1.643,0.0,0.0,5.3381872
