SrNo,VE3sign_D/Dt,P_VSA_LogP_2,P_VSA_s_4,CATS2D_09_AA,F07[O-O],ATSC7dv,TSRW10,pIC50_HB
17.0,-1.215,32.52,84.95,1.0,0.0,-75.49,64.86,3.9519467
18.0,-1.298,50.53,113.4,0.0,0.0,-77.89,74.06,4.7495799
20.0,-1.391,52.64,116.7,0.0,0.0,-26.51,66.86,4.5931191
21.0,-1.179,46.87,97.26,2.0,0.0,-146.7,72.85,4.0592842
22.0,-1.23,53.07,66.65,0.0,0.0,-10.81,58.59,3.9767475
23.0,-3.441,10.53,114.9,0.0,0.0,97.28,78.14,4.1394224
24.0,-3.529,10.53,114.9,0.0,0.0,66.42,78.18,4.5172691
25.0,-3.049,10.53,116.2,0.0,0.0,16.0,75.65,4.2481055
27.0,-3.663,10.53,117.6,1.0,0.0,79.0,78.06,4.4257374
33.0,-1.731,18.01,101.8,0.0,1.0,-7.672,74.44,4.2189631
34.0,-2.15,18.01,111.3,0.0,0.0,-62.63,73.19,4.2676063
35.0,-1.327,14.67,71.93,0.0,0.0,-9.388,70.89,3.9880068
36.0,-3.217,11.55,115.5,0.0,0.0,80.83,78.19,4.6179829
37.0,-6.558,11.55,106.7,1.0,2.0,78.47,78.14,3.1487417
38.0,-3.654,31.41,103.6,0.0,0.0,0.2951,78.03,4.7958798
39.0,-3.745,11.55,110.5,0.0,0.0,33.97,74.55,4.1732774
40.0,-2.158,18.01,128.9,1.0,1.0,40.02,83.3,4.2247539
42.0,-2.99,5.069,118.1,0.0,0.0,1.0,77.48,4.7958798
43.0,-2.041,18.01,90.96,0.0,0.0,8.003,77.08,4.3429441
45.0,-1.126,4.211,104.8,0.0,0.0,38.36,70.59,4.5096202
46.0,-1.126,34.9,75.46,0.0,0.0,-11.19,70.59,4.5241838
47.0,-1.233,4.211,86.36,0.0,0.0,62.06,72.59,4.2443538
49.0,-1.038,4.211,106.2,1.0,0.0,20.48,73.02,4.254457
51.0,-1.394,21.68,57.45,0.0,0.0,-30.08,70.71,3.6550186
53.0,-1.17,4.211,106.2,0.0,1.0,66.84,73.03,4.5861974
54.0,-0.991,8.804,104.2,1.0,0.0,23.02,74.14,4.562408
55.0,-1.129,4.211,107.6,1.0,0.0,39.9,75.48,4.5622497
57.0,-1.349,4.211,76.23,0.0,0.0,82.89,75.32,4.5550189
58.0,-0.767,11.98,95.58,0.0,0.0,-23.74,72.36,3.8870599
61.0,-0.691,13.14,76.63,0.0,0.0,52.16,74.54,4.6170831
69.0,-1.991,39.64,97.42,0.0,0.0,-72.49,70.72,4.4743075
70.0,-1.252,50.53,114.0,0.0,0.0,-67.97,72.87,5.0087738
44.0,-2.001,12.4,111.3,1.0,0.0,-50.43,78.92,4.2485671
80.0,-1.837,12.4,120.3,1.0,0.0,-53.2,80.13,4.4775558
83.0,-2.912,21.68,103.6,1.0,0.0,-39.8,83.62,4.2075381
84.0,-2.842,24.22,103.6,1.0,0.0,-37.83,83.69,4.2691369
85.0,-3.651,21.68,103.6,0.0,0.0,-39.32,83.62,4.0692039
88.0,-2.569,12.4,120.3,0.0,0.0,-15.64,80.14,4.3494983
93.0,-1.719,12.4,119.7,1.0,0.0,-81.46,81.35,4.3831048
94.0,-1.866,12.4,119.7,1.0,0.0,-115.6,81.35,4.4083791
96.0,-1.58,12.4,121.8,1.0,0.0,-111.9,82.47,4.2912393
97.0,-1.412,12.4,119.7,1.0,2.0,33.61,81.34,4.279758
99.0,-1.412,12.4,119.7,0.0,0.0,19.45,81.34,5.1390634
100.0,-1.561,12.4,119.7,0.0,0.0,47.44,81.34,4.9507818
101.0,-1.613,12.4,119.0,0.0,0.0,106.1,82.55,4.9355421
102.0,-1.653,12.4,121.1,0.0,0.0,31.05,83.67,4.9208188
103.0,-1.412,12.4,109.8,0.0,0.0,13.05,81.34,4.9625735
104.0,-1.561,12.4,109.8,0.0,0.0,28.1,81.34,4.8356471
105.0,-1.613,9.28,103.2,1.0,0.0,97.3,82.55,4.6497521
109.0,-2.406,21.68,102.9,0.0,0.0,31.25,84.8,4.7304869
110.0,-1.641,21.68,102.9,0.0,0.0,25.72,84.81,4.6108341
111.0,-1.635,19.15,102.9,0.0,0.0,27.94,82.86,4.9244533
113.0,-1.6,16.62,111.7,0.0,0.0,29.86,85.45,4.8386321
115.0,-2.364,38.84,120.9,0.0,0.0,32.1,84.87,4.7721133
116.0,-1.594,38.84,120.9,0.0,0.0,22.71,84.88,5.1051302
118.0,-1.642,36.73,129.7,0.0,0.0,17.98,86.06,5.2395773
119.0,-1.582,23.95,111.3,0.0,0.0,9.979,86.06,4.6777806
120.0,-1.597,54.58,111.7,0.0,0.0,-1.667,87.35,5.031517
122.0,-1.477,26.06,102.9,0.0,0.0,22.05,88.24,4.7399287
123.0,-1.594,25.8,102.9,0.0,0.0,33.0,84.88,4.6020598
124.0,-1.801,39.7,112.1,0.0,0.0,7.829,92.28,4.9871626
126.0,-1.843,41.8,131.6,0.0,0.0,44.76,91.19,5.3381872
