SrNo,VE3sign_D/Dt,P_VSA_s_4,SssCH2,SsssNH+,CATS2D_09_AA,B06[N-N],AATS8i,pIC50_HB
17.0,-1.215,84.95,5.502,1.611,1.0,1.0,165.0,3.9519467
18.0,-1.298,113.4,5.682,1.66,0.0,1.0,161.2,4.7495799
20.0,-1.391,116.7,7.348,1.75,0.0,0.0,161.5,4.5931191
21.0,-1.179,97.26,12.33,0.0,2.0,1.0,162.6,4.0592842
22.0,-1.23,66.65,7.826,1.787,0.0,0.0,162.2,3.9767475
23.0,-3.441,114.9,4.565,0.0,0.0,0.0,163.8,4.1394224
24.0,-3.529,114.9,4.565,0.0,0.0,0.0,163.8,4.5172691
25.0,-3.049,116.2,4.569,0.0,0.0,0.0,161.0,4.2481055
27.0,-3.663,117.6,4.287,0.0,1.0,0.0,165.1,4.4257374
33.0,-1.731,101.8,0.0,0.0,0.0,0.0,160.6,4.2189631
34.0,-2.15,111.3,0.0,0.0,0.0,0.0,160.4,4.2676063
35.0,-1.327,71.93,2.822,0.0,0.0,0.0,152.0,3.9880068
36.0,-3.217,115.5,3.352,0.0,0.0,0.0,159.5,4.6179829
37.0,-6.558,106.7,3.268,0.0,1.0,0.0,153.3,3.1487417
38.0,-3.654,103.6,3.094,0.0,0.0,0.0,162.5,4.7958798
39.0,-3.745,110.5,3.575,0.0,0.0,0.0,153.6,4.1732774
40.0,-2.158,128.9,0.0,0.0,1.0,0.0,158.7,4.2247539
42.0,-2.99,118.1,1.66,0.0,0.0,0.0,161.3,4.7958798
43.0,-2.041,90.96,0.0,0.0,0.0,0.0,167.9,4.3429441
45.0,-1.126,104.8,1.134,0.0,0.0,0.0,165.1,4.5096202
46.0,-1.126,75.46,8.254,0.0,0.0,0.0,166.7,4.5241838
47.0,-1.233,86.36,1.1,0.0,0.0,0.0,165.9,4.2443538
49.0,-1.038,106.2,1.07,0.0,1.0,0.0,164.6,4.254457
51.0,-1.394,57.45,9.386,1.579,0.0,0.0,163.0,3.6550186
53.0,-1.17,106.2,1.051,0.0,0.0,0.0,165.3,4.5861974
54.0,-0.991,104.2,1.734,0.0,1.0,0.0,165.1,4.562408
55.0,-1.129,107.6,0.958,0.0,1.0,0.0,166.9,4.5622497
57.0,-1.349,76.23,1.053,0.0,0.0,0.0,167.1,4.5550189
58.0,-0.767,95.58,3.936,1.559,0.0,0.0,160.4,3.8870599
61.0,-0.691,76.63,6.148,0.0,0.0,1.0,165.3,4.6170831
69.0,-1.991,97.42,2.798,0.0,0.0,0.0,163.0,4.4743075
70.0,-1.252,114.0,5.49,1.618,0.0,1.0,162.2,5.0087738
44.0,-2.001,111.3,4.151,1.452,1.0,0.0,160.9,4.2485671
80.0,-1.837,120.3,4.226,1.478,1.0,1.0,162.0,4.4775558
83.0,-2.912,103.6,9.196,1.498,1.0,1.0,160.0,4.2075381
84.0,-2.842,103.6,10.54,1.499,1.0,1.0,160.5,4.2691369
85.0,-3.651,103.6,9.162,1.502,0.0,0.0,161.4,4.0692039
88.0,-2.569,120.3,4.212,1.476,0.0,0.0,161.8,4.3494983
93.0,-1.719,119.7,4.223,1.479,1.0,1.0,161.6,4.3831048
94.0,-1.866,119.7,4.223,1.479,1.0,1.0,161.5,4.4083791
96.0,-1.58,121.8,4.157,1.461,1.0,1.0,161.7,4.2912393
97.0,-1.412,119.7,4.37,1.522,1.0,1.0,162.0,4.279758
99.0,-1.412,119.7,4.577,1.585,0.0,1.0,162.9,5.1390634
100.0,-1.561,119.7,4.563,1.583,0.0,1.0,162.6,4.9507818
101.0,-1.613,119.0,4.559,1.587,0.0,1.0,164.5,4.9355421
102.0,-1.653,121.1,4.392,1.539,0.0,1.0,164.9,4.9208188
103.0,-1.412,109.8,4.453,1.545,0.0,1.0,164.0,4.9625735
104.0,-1.561,109.8,4.474,1.555,0.0,1.0,162.3,4.8356471
105.0,-1.613,103.2,3.953,0.0,1.0,1.0,164.6,4.6497521
109.0,-2.406,102.9,9.608,1.604,0.0,1.0,161.1,4.7304869
110.0,-1.641,102.9,9.587,1.609,0.0,1.0,162.2,4.6108341
111.0,-1.635,102.9,8.303,1.602,0.0,1.0,161.6,4.9244533
113.0,-1.6,111.7,5.848,1.559,0.0,1.0,162.5,4.8386321
115.0,-2.364,120.9,9.23,1.601,0.0,1.0,161.7,4.7721133
116.0,-1.594,120.9,9.205,1.605,0.0,1.0,162.9,5.1051302
118.0,-1.642,129.7,7.981,1.603,0.0,1.0,162.3,5.2395773
119.0,-1.582,111.3,9.269,3.224,0.0,1.0,162.9,4.6777806
120.0,-1.597,111.7,9.014,1.597,0.0,1.0,162.5,5.031517
122.0,-1.477,102.9,9.849,3.073,0.0,1.0,161.9,4.7399287
123.0,-1.594,102.9,8.058,1.586,0.0,1.0,162.6,4.6020598
124.0,-1.801,112.1,8.619,1.391,0.0,1.0,164.3,4.9871626
126.0,-1.843,131.6,10.64,1.643,0.0,1.0,163.3,5.3381872
