SrNo,VE3sign_D/Dt,P_VSA_s_4,P_VSA_ppp_P,CATS2D_09_AA,F07[O-O],ATSC7dv,VR3_Dzs,pIC50_HB
17.0,-1.215,84.95,3.124,1.0,0.0,-75.49,16.19843868,3.9519467
18.0,-1.298,113.4,3.124,0.0,0.0,-77.89,23.26718573,4.7495799
20.0,-1.391,116.7,3.124,0.0,0.0,-26.51,18.35270661,4.5931191
21.0,-1.179,97.26,18.01,2.0,0.0,-146.7,26.81904484,4.0592842
22.0,-1.23,66.65,3.124,0.0,0.0,-10.81,12.58914897,3.9767475
23.0,-3.441,114.9,0.0,0.0,0.0,97.28,17.0594101,4.1394224
24.0,-3.529,114.9,0.0,0.0,0.0,66.42,17.02785612,4.5172691
25.0,-3.049,116.2,0.0,0.0,0.0,16.0,14.94411127,4.2481055
27.0,-3.663,117.6,0.0,1.0,0.0,79.0,17.50939001,4.4257374
33.0,-1.731,101.8,0.0,0.0,1.0,-7.672,13.97962833,4.2189631
34.0,-2.15,111.3,0.0,0.0,0.0,-62.63,13.24735015,4.2676063
35.0,-1.327,71.93,0.0,0.0,0.0,-9.388,12.27025796,3.9880068
36.0,-3.217,115.5,0.0,0.0,0.0,80.83,17.30337308,4.6179829
37.0,-6.558,106.7,0.0,1.0,2.0,78.47,17.59415823,3.1487417
38.0,-3.654,103.6,0.0,0.0,0.0,0.2951,16.49038814,4.7958798
39.0,-3.745,110.5,0.0,0.0,0.0,33.97,14.77065202,4.1732774
40.0,-2.158,128.9,0.0,1.0,1.0,40.02,22.99072651,4.2247539
42.0,-2.99,118.1,0.0,0.0,0.0,1.0,15.00011863,4.7958798
43.0,-2.041,90.96,0.0,0.0,0.0,8.003,15.76830043,4.3429441
45.0,-1.126,104.8,0.0,0.0,0.0,38.36,11.24803342,4.5096202
46.0,-1.126,75.46,18.01,0.0,0.0,-11.19,11.56823983,4.5241838
47.0,-1.233,86.36,0.0,0.0,0.0,62.06,11.02348159,4.2443538
49.0,-1.038,106.2,0.0,1.0,0.0,20.48,18.61630548,4.254457
51.0,-1.394,57.45,3.124,0.0,0.0,-30.08,12.67423471,3.6550186
53.0,-1.17,106.2,0.0,0.0,1.0,66.84,14.68629711,4.5861974
54.0,-0.991,104.2,0.0,1.0,0.0,23.02,13.66266945,4.562408
55.0,-1.129,107.6,0.0,1.0,0.0,39.9,14.42412112,4.5622497
57.0,-1.349,76.23,0.0,0.0,0.0,82.89,12.38873582,4.5550189
58.0,-0.767,95.58,3.124,0.0,0.0,-23.74,12.29057193,3.8870599
61.0,-0.691,76.63,0.0,0.0,0.0,52.16,13.3474481,4.6170831
69.0,-1.991,97.42,32.9,0.0,0.0,-72.49,11.63885813,4.4743075
70.0,-1.252,114.0,3.124,0.0,0.0,-67.97,22.20272841,5.0087738
44.0,-2.001,111.3,3.124,1.0,0.0,-50.43,15.27267937,4.2485671
80.0,-1.837,120.3,3.124,1.0,0.0,-53.2,16.26737054,4.4775558
83.0,-2.912,103.6,3.124,1.0,0.0,-39.8,21.17732209,4.2075381
84.0,-2.842,103.6,3.124,1.0,0.0,-37.83,19.27802802,4.2691369
85.0,-3.651,103.6,3.124,0.0,0.0,-39.32,20.28702431,4.0692039
88.0,-2.569,120.3,3.124,0.0,0.0,-15.64,16.08737468,4.3494983
93.0,-1.719,119.7,3.124,1.0,0.0,-81.46,16.78128331,4.3831048
94.0,-1.866,119.7,3.124,1.0,0.0,-115.6,16.79425886,4.4083791
96.0,-1.58,121.8,3.124,1.0,0.0,-111.9,17.39930238,4.2912393
97.0,-1.412,119.7,3.124,1.0,2.0,33.61,16.76290806,4.279758
99.0,-1.412,119.7,3.124,0.0,0.0,19.45,16.75806333,5.1390634
100.0,-1.561,119.7,3.124,0.0,0.0,47.44,16.72578544,4.9507818
101.0,-1.613,119.0,3.124,0.0,0.0,106.1,17.41879115,4.9355421
102.0,-1.653,121.1,3.124,0.0,0.0,31.05,18.16258265,4.9208188
103.0,-1.412,109.8,3.124,0.0,0.0,13.05,16.73468743,4.9625735
104.0,-1.561,109.8,3.124,0.0,0.0,28.1,16.7300551,4.8356471
105.0,-1.613,103.2,0.0,1.0,0.0,97.3,17.72895501,4.6497521
109.0,-2.406,102.9,3.124,0.0,0.0,31.25,19.00572101,4.7304869
110.0,-1.641,102.9,3.124,0.0,0.0,25.72,18.56025796,4.6108341
111.0,-1.635,102.9,3.124,0.0,0.0,27.94,17.73181996,4.9244533
113.0,-1.6,111.7,3.124,0.0,0.0,29.86,23.78010988,4.8386321
115.0,-2.364,120.9,21.14,0.0,0.0,32.1,24.04167621,4.7721133
116.0,-1.594,120.9,21.14,0.0,0.0,22.71,20.21135778,5.1051302
118.0,-1.642,129.7,21.14,0.0,0.0,17.98,26.08623849,5.2395773
119.0,-1.582,111.3,6.249,0.0,0.0,9.979,22.62844471,4.6777806
120.0,-1.597,111.7,36.02,0.0,0.0,-1.667,21.65295808,5.031517
122.0,-1.477,102.9,6.249,0.0,0.0,22.05,22.49273223,4.7399287
123.0,-1.594,102.9,3.124,0.0,0.0,33.0,20.13561644,4.6020598
124.0,-1.801,112.1,21.14,0.0,0.0,7.829,26.79749314,4.9871626
126.0,-1.843,131.6,21.14,0.0,0.0,44.76,24.13335164,5.3381872
