,PUBCHEM_EXT_DATASOURCE_SMILES,pIC50,CID,Activity,CanonicalSMILES,standardized_smiles
0,[C-]#[N+]C1=CC2=C(C(=NC=N2)NC3=CC(=C(C=C3)F)[C@@]4(C[C@H](OC(=N4)N)C(F)(F)F)CF)N=C1,7.591760035,124221527,Active,[C-]#[N+]C1=CC2=C(C(=NC=N2)NC3=CC(=C(C=C3)F)C4(CC(OC(=N4)N)C(F)(F)F)CF)N=C1,[C-]#[N+]C1=CC2=C(N=C1)C(NC1=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C=C1)=NC=N2
1,[C-]#[N+]C1=CN=C(C=C1)C(=O)NC2=CC(=C(C(=C2)F)F)[C@@]3(C[C@H](OC(=N3)N)C(F)(F)F)CF,7.48148606,124221532,Active,[C-]#[N+]C1=CN=C(C=C1)C(=O)NC2=CC(=C(C(=C2)F)F)C3(CC(OC(=N3)N)C(F)(F)F)CF,[C-]#[N+]C1=CN=C(C(=O)NC2=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C(F)=C2)C=C1
2,C#CCOC1=CN=C(C=C1)C(=O)NC2=CC(=C(C(=C2)F)F)[C@@]3(C[C@H](OC(=N3)N)C(F)(F)F)CF,7.886056648,78322387,Active,C#CCOC1=CN=C(C=C1)C(=O)NC2=CC(=C(C(=C2)F)F)C3(CC(OC(=N3)N)C(F)(F)F)CF,C#CCOC1=CN=C(C(=O)NC2=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C(F)=C2)C=C1
3,C#CCOC1=NC=C(N=C1)C(=O)NC2=CC(=C(C(=C2)F)F)[C@@]3(C[C@H](OC(=N3)N)C(F)(F)F)CF,8.853871964,78322386,Active,C#CCOC1=NC=C(N=C1)C(=O)NC2=CC(=C(C(=C2)F)F)C3(CC(OC(=N3)N)C(F)(F)F)CF,C#CCOC1=NC=C(C(=O)NC2=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C(F)=C2)N=C1
4,C#CCOC1=NC=C(N=C1)C(=O)NC2=CC(=C(C=C2)F)[C@@]3(C[C@H](OC(=N3)N)C(F)(F)F)CF,8.638272164,90373092,Active,C#CCOC1=NC=C(N=C1)C(=O)NC2=CC(=C(C=C2)F)C3(CC(OC(=N3)N)C(F)(F)F)CF,C#CCOC1=NC=C(C(=O)NC2=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C=C2)N=C1
5,C1[C@H](OC(=NC1(C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)Cl)F)C(F)F)N)C(F)(F)F,7.102372909,124221529,Active,C1C(OC(=NC1(C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)Cl)F)C(F)F)N)C(F)(F)F,NC1=NC(C2=C(F)C=CC(NC(=O)C3=NC=C(Cl)C=C3)=C2)(C(F)F)CC(C(F)(F)F)O1
6,C1[C@H](OC(=N[C@]1(CF)C2=C(C(=CC(=C2)NC(=O)C3=C(C=C(C=N3)C#N)F)F)F)N)C(F)(F)F,7.420216403,90372807,Active,C1C(OC(=NC1(CF)C2=C(C(=CC(=C2)NC(=O)C3=C(C=C(C=N3)C#N)F)F)F)N)C(F)(F)F,N#CC1=CC(F)=C(C(=O)NC2=CC(C3(CF)CC(C(F)(F)F)OC(N)=N3)=C(F)C(F)=C2)N=C1
7,C1[C@H](OC(=N[C@]1(CF)C2=C(C(=CC(=C2)NC(=O)C3=C(C=C(C=N3)Cl)F)F)F)N)C(F)(F)F,7.537602002,90372911,Active,C1C(OC(=NC1(CF)C2=C(C(=CC(=C2)NC(=O)C3=C(C=C(C=N3)Cl)F)F)F)N)C(F)(F)F,NC1=NC(CF)(C2=C(F)C(F)=CC(NC(=O)C3=C(F)C=C(Cl)C=N3)=C2)CC(C(F)(F)F)O1
8,C1[C@H](OC(=N[C@]1(CF)C2=C(C(=CC(=C2)NC(=O)C3=NC=C(C=C3)Br)F)F)N)C(F)(F)F,7.721246399,86732231,Active,C1C(OC(=NC1(CF)C2=C(C(=CC(=C2)NC(=O)C3=NC=C(C=C3)Br)F)F)N)C(F)(F)F,NC1=NC(CF)(C2=C(F)C(F)=CC(NC(=O)C3=NC=C(Br)C=C3)=C2)CC(C(F)(F)F)O1
9,C1[C@H](OC(=N[C@]1(CF)C2=C(C(=CC(=C2)NC(=O)C3=NC=C(C=C3)Cl)F)F)N)C(F)(F)F,7.585026652,90372917,Active,C1C(OC(=NC1(CF)C2=C(C(=CC(=C2)NC(=O)C3=NC=C(C=C3)Cl)F)F)N)C(F)(F)F,NC1=NC(CF)(C2=C(F)C(F)=CC(NC(=O)C3=NC=C(Cl)C=C3)=C2)CC(C(F)(F)F)O1
